id,sex,cage,time.of.day,n.correct.training,n.incorrect.training,session.reward.colour,n.morning.colour.test,n.afternoon.colour.test,final.presentation,n.correct.training.last.2,n.incorrect.training.last.2,prop.correct.training.last.2,n.morning.colour.initial,n.afternoon.colour.initial,species,criterion,n.morning.colour.training,n.afternoon.colour.training,prop.morning.reward.colour,shift.in.prop.morning.colour,abs.shift.in.prop.morning.colour,colour.training.scheme
D17,M,5A,1morning,46,24,yellow,16,6,reversed,19,8,0.703703704,14,26,dryas,passed,46,24,0.657142857,0.148668281,0.148668281,yellow.morning.purple.afternoon
D18,M,5A,1morning,46,16,yellow,2,5,reversed,14,5,0.736842105,12,30,dryas,NA,46,16,0.741935484,0.22842197,0.22842197,yellow.morning.purple.afternoon
D2,M,4A,1morning,23,34,purple,7,44,normal,3,3,0.5,7,2,dryas,NA,23,34,0.403508772,-0.074752098,0.074752098,purple.morning.yellow.afternoon
D20,M,5A,1morning,7,1,yellow,86,12,reversed,2,0,1,21,14,dryas,passed,7,1,0.875,0.401315789,0.401315789,yellow.morning.purple.afternoon
D3,F,4A,1morning,27,25,purple,59,20,normal,6,9,0.4,15,10,dryas,failed,27,25,0.519230769,0.182782171,0.182782171,purple.morning.yellow.afternoon
D4,M,4A,1morning,17,33,purple,36,94,normal,5,7,0.416666667,9,0,dryas,failed,17,33,0.34,-0.209450549,0.209450549,purple.morning.yellow.afternoon
D5,F,4A,1morning,2,2,purple,0,0,normal,0,0,0,1,2,dryas,NA,2,2,0.5,0.458333333,0.458333333,purple.morning.yellow.afternoon
D8,M,4A,1morning,19,8,purple,5,4,normal,4,1,0.8,4,0,dryas,failed,19,8,0.703703704,0.249158249,0.249158249,purple.morning.yellow.afternoon
D9,F,4A,1morning,127,0,purple,0,0,normal,0,0,0,22,0,dryas,NA,127,0,1,0,0,purple.morning.yellow.afternoon
DM,F,5A,1morning,0,34,yellow,0,2,reversed,0,0,0,2,3,dryas,failed,0,34,0,-0.153846154,0.153846154,yellow.morning.purple.afternoon
